Keyword,ASIN,Title,Detail_Page_URL,Star_Rating,Number_of_Reviews,Price,Current_Time
jabón sólido hombre,B09LLR1P2N,"Champú Sólido Ecológico 120g - Santa Gadea Hair & Body| Para Cabello y Cuerpo | Sin Sulfatos, Con Leche de Cabra, aceite de oliva y Aceite de Árbol de Té",https://www.amazon.es//sspa/click?ie=UTF8&spc=MTo1MjQ1NTU3NzQ5NjY1NjM4OjE3NDQwNjIwMTY6c3BfYXRmOjMwMDUxMDA4OTA0MTgzMjo6MDo6&url=%2FChamp%25C3%25BA-S%25C3%25B3lido-Ecol%25C3%25B3gico-120g-Sulfatos%2Fdp%2FB09LLR1P2N%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg%26dib_tag%3Dse%26keywords%3Djab%25C3%25B3n%252Bs%25C3%25B3lido%252Bhombre%26qid%3D1744062015%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"3,9 de 5 estrellas",,"8,99 €","4/8/2025, 05:40:20"
jabón sólido hombre,B07C39Z1Q6,"El Serail Savonnerie Marseillaise desde 1949 - Barra de jabón genuino de Marsella 1,4 Kg. Jabón crudo EXTRA PURO de aceite de OLIVA - Garantía sin aceite de palma",https://www.amazon.es//sspa/click?ie=UTF8&spc=MTo1MjQ1NTU3NzQ5NjY1NjM4OjE3NDQwNjIwMTY6c3BfYXRmOjMwMDQ4NzU4ODU3MDAzMjo6MDo6&url=%2FSerail-Savonnerie-Marseillaise-desde-1949%2Fdp%2FB07C39Z1Q6%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg%26dib_tag%3Dse%26keywords%3Djab%25C3%25B3n%252Bs%25C3%25B3lido%252Bhombre%26qid%3D1744062015%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"4,6 de 5 estrellas",,"24,95 €","4/8/2025, 05:40:21"
jabón sólido hombre,B082HY3HJG,"Pure Now Jabón Aleppo 3 x ca 200g, 85% aceite de oliva 15% aceite de laurel, PH neutro, desintoxicación, hecho a mano",https://www.amazon.es//sspa/click?ie=UTF8&spc=MTo1MjQ1NTU3NzQ5NjY1NjM4OjE3NDQwNjIwMTY6c3BfYXRmOjMwMDAzMTA4NzIxNDQzMjo6MDo6&url=%2FPure-Now-Aleppo-aceite-desintoxicaci%25C3%25B3n%2Fdp%2FB082HY3HJG%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg%26dib_tag%3Dse%26keywords%3Djab%25C3%25B3n%252Bs%25C3%25B3lido%252Bhombre%26qid%3D1744062015%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"4,5 de 5 estrellas",,"18,81 €","4/8/2025, 05:40:21"
jabón sólido hombre,B099XBPTXT,"Foamie limpiador sólido 3en1 para hombre con menta y limónI Champu solido, Limpiador facial y Gel de ducha para hombre en 1I Vegano sin plástico 90g",https://www.amazon.es//Foamie-limpiador-s%C3%B3lido-Limpiador-pl%C3%A1stico/dp/B099XBPTXT/ref=sr_1_4?dib=eyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg&dib_tag=se&keywords=jab%C3%B3n%2Bs%C3%B3lido%2Bhombre&qid=1744062015&sr=8-4,"4,2 de 5 estrellas",,"4,50 €","4/8/2025, 05:40:21"
jabón sólido hombre,B08V7ZVSFF,"L'Oréal Men Expert Champú sólido para hombres, jabón XL para limpiar el cuerpo, el cabello y la barba, con complejo de aceite de cedro nutritivo, Barber Club, 1 x 80 g",https://www.amazon.es//Men-Expert-hombres-complejo-nutritivo/dp/B08V7ZVSFF/ref=sr_1_5?dib=eyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg&dib_tag=se&keywords=jab%C3%B3n%2Bs%C3%B3lido%2Bhombre&qid=1744062015&sr=8-5,"4,4 de 5 estrellas",,"6,95 €","4/8/2025, 05:40:21"
jabón sólido hombre,B0CG9Z8F6T,Störtebekker® Premium Champú sólido Sándalo (1 pc.) – Champú vegano hecho a mano para hombre y mujer – cuidado de ducha perfumado para la piel y el cabello – Champú hidratante sólido,https://www.amazon.es//St%C3%B6rtebekker%C2%AE-Premium-s%C3%A1ndalo-perfumado-hidratante/dp/B0CG9Z8F6T/ref=sr_1_6?dib=eyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg&dib_tag=se&keywords=jab%C3%B3n%2Bs%C3%B3lido%2Bhombre&qid=1744062015&sr=8-6,"4,2 de 5 estrellas",,"11,99 €","4/8/2025, 05:40:21"
jabón sólido hombre,B0DCP4Z4D3,"2 Piezas Jabón Natural, Soaps Aloe Vera + Jabón de Limón, 100 g Jabón Sólido, Gel de Ducha Sólido, Jabón de Barra de Limón para La Piel Cabello Cuerpo Cara Baño para Todo Tipo de Piel Hombres Mujeres",https://www.amazon.es//Piezas-Natural-Cabello-Hombres-Mujeres/dp/B0DCP4Z4D3/ref=sr_1_7?dib=eyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg&dib_tag=se&keywords=jab%C3%B3n%2Bs%C3%B3lido%2Bhombre&qid=1744062015&sr=8-7,"4,4 de 5 estrellas",,"9,99 €","4/8/2025, 05:40:21"
jabón sólido hombre,B0C9RSQVXY,"Jabón Puro Chipre Imperial - Confiança 1894 | Jabón Limpiador Facial y Corporal | Gel Sólido en Jabón Pastilla | Jabón de Manos, Cara y Cuerpo | Limpieza Facial para Hombre | Pack de 3 Jabones x 125g",https://www.amazon.es//Jab%C3%B3n-Puro-Chipre-Imperial-Confian%C3%A7a/dp/B0C9RSQVXY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg&dib_tag=se&keywords=jab%C3%B3n%2Bs%C3%B3lido%2Bhombre&qid=1744062015&sr=8-8,"5,0 de 5 estrellas",,"9,99 €","4/8/2025, 05:40:21"
jabón sólido hombre,B0DNG6FPHJ,"larum sports jabón natural cuerpo y cabello lima macadamia, gel de ducha solido con ingredientes 100% naturales, 2x 85g",https://www.amazon.es//larum-sports-macadamia-ingredientes-naturales/dp/B0DNG6FPHJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg&dib_tag=se&keywords=jab%C3%B3n%2Bs%C3%B3lido%2Bhombre&qid=1744062015&sr=8-9,"4,7 de 5 estrellas",,"11,99 €","4/8/2025, 05:40:22"
jabón sólido hombre,B08F7TFXT5,"Old Spice Wolfthorn Gel Y Champú Para Hombres, 3 En 1: Pelo, Cara Y Cuerpo, 2000 ml. Excepcional Aroma Fresco Y Duradero",https://www.amazon.es//Old-Spice-Wolfthorn-Champ%C3%BA-Hombres/dp/B08F7TFXT5/ref=sr_1_10?dib=eyJ2IjoiMSJ9.i-06hQ87bFqzS-kYhrqWX1MVZO6UP0ZWfmMQMTsCGabThwO4tvQyltXOgbenR0IihKvmDFZ1Is71GkXy8xWiiB0W70cZLveEymIAO-7i8XHUrLSNZC-9CEZPjyHyO5J4bwuzg8jqUAwjmXrKDR26T-7Sjy0jgC046sGcrtE_gDjp5NUCFJT_KhG-0ugTmM3KQYAkkPgyVw-dIvcywCthXm1kpl1zE6UszhK_8_jtSRCf7lbSSOgPFFWD6XzuG4VEgZV0GcA4qPI7WcE3-p00VfoT2rTlOZPqeQAHUKkN9fE.2vXvMZP8plN6-EgjCzVMtHJtaqT8IPs35OqaPr09AGg&dib_tag=se&keywords=jab%C3%B3n%2Bs%C3%B3lido%2Bhombre&qid=1744062015&sr=8-10,"4,3 de 5 estrellas",,"12,99 €","4/8/2025, 05:40:22"
